epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,18857.6,1.08805,1.43408,0.52968,0.01047,0.26238,0.96709,0.96002,0.98322,0.66797,0.97147,0.96189,0.98378,0.66179,1.17611,1.57786,0.37747,0.01612,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,19062.3,1.08415,1.44283,0.52146,0.01038,0.26414,0.96826,0.95926,0.98372,0.66881,0.97095,0.96192,0.98456,0.6608,1.17909,1.57399,0.37211,0.01618,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,19266.9,1.07455,1.42881,0.51942,0.01017,0.26812,0.95924,0.966,0.98246,0.66629,0.96136,0.96813,0.9832,0.66069,1.17399,1.57231,0.37798,0.01609,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,19471.4,1.07266,1.42321,0.53001,0.01028,0.26388,0.95912,0.96306,0.97575,0.66584,0.96125,0.96519,0.98396,0.66087,1.1777,1.57565,0.37367,0.01613,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19676.4,1.06295,1.41147,0.51008,0.01005,0.25776,0.96823,0.95836,0.97541,0.66515,0.97022,0.96055,0.98394,0.66068,1.17426,1.5844,0.38095,0.01609,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19879.8,1.05902,1.40744,0.50358,0.01009,0.25112,0.96517,0.96024,0.98337,0.66758,0.96897,0.96531,0.98566,0.66421,1.17036,1.59214,0.37319,0.01604,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,20084.2,1.06808,1.40093,0.5096,0.01013,0.25915,0.96944,0.96002,0.98319,0.66738,0.97105,0.96162,0.98426,0.66395,1.16681,1.59467,0.37563,0.01597,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20289.2,1.05219,1.40956,0.49421,0.00996,0.25528,0.96176,0.96002,0.98227,0.66647,0.96437,0.96269,0.98358,0.66319,1.1677,1.58754,0.37711,0.01598,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,20493,1.0568,1.40776,0.49748,0.0099,0.25425,0.96006,0.96002,0.98317,0.66636,0.9622,0.96215,0.9835,0.65979,1.18082,1.6015,0.3748,0.0162,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,20699.7,1.05038,1.39505,0.49511,0.0099,0.25232,0.96943,0.96322,0.98507,0.6662,0.96643,0.96692,0.9855,0.65873,1.18706,1.61673,0.36584,0.0163,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,20905,1.02884,1.38862,0.47793,0.00971,0.24553,0.9652,0.96089,0.97651,0.66305,0.97055,0.96535,0.98528,0.66042,1.18639,1.6205,0.36316,0.01628,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21110.5,1.03558,1.38743,0.4869,0.0098,0.25284,0.9694,0.96247,0.97695,0.66209,0.97477,0.9678,0.98696,0.65779,1.18761,1.62555,0.36753,0.01627,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,21315.7,1.02614,1.37646,0.47988,0.00959,0.24416,0.96533,0.9648,0.97676,0.66098,0.9696,0.96907,0.98609,0.66002,1.19197,1.62941,0.36534,0.01636,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,21522.7,1.02114,1.37657,0.47337,0.00959,0.2445,0.96138,0.97015,0.98231,0.66034,0.96667,0.97548,0.98601,0.65717,1.19198,1.62804,0.36221,0.01636,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,21726.9,1.00916,1.37106,0.47156,0.00947,0.2452,0.96931,0.95969,0.97636,0.66153,0.97308,0.96335,0.98488,0.65841,1.18763,1.62634,0.36726,0.01627,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,21930.2,1.00782,1.37622,0.48327,0.0095,0.24707,0.96596,0.96269,0.9766,0.66224,0.97052,0.96505,0.9855,0.65979,1.18117,1.62691,0.3741,0.01618,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22135.6,1.00379,1.35806,0.48065,0.0095,0.24573,0.96686,0.96411,0.97631,0.66089,0.96953,0.96678,0.97664,0.65819,1.18142,1.63392,0.3724,0.0162,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22338,0.99604,1.34706,0.47901,0.0094,0.23825,0.9619,0.96855,0.97692,0.66093,0.96402,0.97068,0.97729,0.65795,1.18495,1.64119,0.36359,0.01626,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,22541.2,0.98686,1.34709,0.46323,0.00922,0.23103,0.9637,0.96224,0.97698,0.65983,0.96795,0.96584,0.98551,0.65857,1.1854,1.64235,0.36838,0.01627,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,22744.8,0.99447,1.36199,0.46556,0.00932,0.23885,0.97049,0.96412,0.9771,0.66125,0.97512,0.96908,0.97785,0.65654,1.18862,1.6524,0.36892,0.01631,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,22947.9,0.98719,1.34651,0.46554,0.00922,0.23416,0.97146,0.96482,0.97741,0.66128,0.97402,0.96748,0.98564,0.65835,1.18908,1.66104,0.3663,0.01632,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23153.2,0.97912,1.33754,0.46308,0.00913,0.23083,0.96798,0.96642,0.97653,0.66145,0.97065,0.96908,0.97734,0.65612,1.19054,1.66665,0.36676,0.01632,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,23357.4,0.97939,1.32722,0.45939,0.00904,0.23397,0.96643,0.96688,0.97666,0.66008,0.96752,0.96908,0.97701,0.65626,1.19503,1.67327,0.36581,0.01641,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,23561.8,0.97611,1.34202,0.46466,0.00922,0.23605,0.96611,0.9726,0.98379,0.65839,0.9677,0.9742,0.98407,0.65623,1.19754,1.67679,0.36364,0.01646,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,23765.9,0.96383,1.32363,0.4586,0.00901,0.22725,0.97385,0.96429,0.98525,0.65986,0.976,0.96642,0.98553,0.65565,1.19617,1.67904,0.36395,0.01644,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,23969.2,0.96502,1.32416,0.46614,0.00902,0.22663,0.96899,0.96642,0.98657,0.6617,0.9706,0.96802,0.98618,0.65662,1.19559,1.68055,0.36596,0.01641,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,24206.8,0.84525,1.1703,0.24214,0.01094,0.16988,0.96536,0.96565,0.98459,0.65809,0.96749,0.96778,0.97814,0.65402,1.1985,1.67782,0.36945,0.01644,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,24410.4,0.81626,1.14015,0.23181,0.01036,0.16257,0.96587,0.96532,0.98486,0.65682,0.96853,0.96799,0.9859,0.65551,1.20074,1.68516,0.36798,0.0165,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,24613.8,0.80778,1.13506,0.23003,0.0102,0.15978,0.96684,0.95842,0.97689,0.65449,0.96947,0.96471,0.986,0.65253,1.20096,1.69095,0.37553,0.0165,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,24817.5,0.80431,1.12776,0.22455,0.01019,0.1586,0.95966,0.96322,0.97397,0.65223,0.96489,0.96855,0.97627,0.64782,1.20549,1.69999,0.37242,0.01657,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
